7:302,29,58,616,518,8,138,866,1762,301
18:17608,32205,47812,4800,54038,24164,5881,26299,1486,16042
36:2162,17,84,654,616,29,70,354,518,58
37:65,10520,1239,9617,73168,296,16288,57491,6009,17
41:356,14202,4499,3890,18867,17,542,902,616,354
42:518,3642,84,7451,2193,3824,62137,10015,2008,35036
43:14906,1678,2983,29732,17,226,2345,16726,8839,698
44:15,5413,97,2316,2338,1217,5710,26042,302,616
45:347,4858,83367,53818,15580,43527,106466,11751,53016,31315
46:109,19431,18256,38663,45422,46215,7506,302,8,616
59:16134,119,37900,29709,1039,654,12605,1102,58,616
60:302,6848,6011,58,84,726,616,29,162,1102
69:813,559,1217,9931,8276,14551,31063,5465,16319,654
70:76,302,354,59931,68787,84,62686,650,38142,37657
94:119,322,559,12066,1152,20553,6175,6270,85755,8276
106:14202,67595,84,29,101,6,518,15,162,8
115:1360,966,2816,2982,709,58,8,29,518,15
116:29001,834,226,719,19277,1326,70,76,986,2318
142:454,296,8487,5176,709,1965,18867,19984,58,84
148:5103,6024,378,1405,18867,46215,5545,986,70,500
150:17,650,861,302,322,289,654,564,8,1102
156:568,7029,302,84,8,52773,58,616,354,1102
161:1403,1039,12259,9581,1926,179,13062,84,616,29
171:28641,302,84,6,354,726,289,518,15,138
172:1937,1217,654,58,861,84,8,542,162,518
177:654,29,58,616,17,84,8,542,518,6
196:650,3476,17164,4578,427,29,616,354,289,76
202:220,302,58,138,1102,518,8,15,354,301
211:118581,122005,53187,23308,4937,17,16661,115885,12160,815
217:55991,17,23010,30531,18700,518,2548,10856,654,616
220:22713,10178,39446,186,7478,64973,58456,58738,7649,93455
223:119,167,559,58,654,302,616,518,84,8
225:353,3476,32619,1187,302,654,84,58,616,15
228:650,361,17,10039,568,302,224,654,61858,58
229:1410,2068,58,84,518,15,6,322,162,94
231:2904,302,654,76,58,84,616,301,354,8
238:26712,42397,441,2672,4513,10536,9055,3618,1744,13814
241:7973,58,616,29,84,542,518,15,6,650
249:8483,91955,17,84,518,70,301,654,94,302
250:285,3250,2031,616,58,654,84,8,138,518
253:189,1527,6434,8848,3172,3107,4568,1206,3140,20806
257:354,65,296,709,17,84,861,15,542,6
272:654,1102,29,354,58,8,866,30556,138,301
273:967,17,302,654,101,354,138,736,650,301
288:5998,116,1548,699,616,58,84,17,29,15
290:18867,13501,138,226,17,354,117,564,654,64527
291:61628,16625,33734,23,84,518,17,15989,302,1102
292:10930,654,58,616,138,542,301,3234,76,285
294:1102,17,8,354,302,289,301,6,353,15466
328:302,319,866,654,58,123082,84,361,354,224
331:22348,58471,17,302,7271,654,6,616,15,58
361:29,354,58,8,616,301,138,518,1762,650
376:8683,17,58,395,302,616,1567,84,6,354
384:1979,4940,1684,17,542,616,650,15,8,518
401:1009,19431,14202,1102,58,616,354,29,301,899
402:16056,4793,3304,302,654,84,289,162,15,8
410:4755,984,3172,10041,1013,463,2880,760,8860,1147
448:17532,53377,598,616,302,58,8,245,542,654
